,ICC1,LowerICC1,HigherICC1,ICC2,LowerICC2,HigherICC2,ICC3,LowerICC3,HigherICC3,ICC4,LowerICC4,HigherICC4,ICC5,LowerICC5,HigherICC5,ICC6,LowerICC6,HigherICC6,Filter,Class,Name
wavelet-HHH_glcm_Contrast,0.353927147872726,0.32,0.4,0.3541385700944074,0.32,0.4,0.358954637593973,0.32,0.4,0.9573748637598092,0.95,0.96,0.957412574131882,0.95,0.96,0.9582603451267644,0.95,0.96,Wavelet (HHH),glcm,Contrast
wavelet-HHH_glcm_Correlation,0.112846304294656,0.1,0.13,0.1135772579053146,0.1,0.14,0.1175481738389384,0.1,0.14,0.8391045555691884,0.81,0.86,0.8400850984689802,0.81,0.87,0.8452362099078657,0.82,0.87,Wavelet (HHH),glcm,Correlation
wavelet-HHH_glcm_DifferenceAverage,0.3361925943334955,0.3,0.38,0.3364560541537814,0.3,0.38,0.3420216250698771,0.31,0.38,0.954054470102618,0.95,0.96,0.95410618122031,0.95,0.96,0.9551812257108248,0.95,0.96,Wavelet (HHH),glcm,DifferenceAverage
wavelet-HHH_glcm_DifferenceEntropy,0.341075917135957,0.31,0.38,0.3413106010669385,0.31,0.38,0.3463685008492017,0.31,0.39,0.9550008582905958,0.95,0.96,0.955045704586864,0.95,0.96,0.955998455869564,0.95,0.96,Wavelet (HHH),glcm,DifferenceEntropy
wavelet-HHH_glcm_DifferenceVariance,0.37173520384786,0.33,0.41,0.3718854026234613,0.33,0.41,0.3755666460743823,0.34,0.42,0.960410319650316,0.95,0.97,0.9604347632071736,0.95,0.97,0.9610281235316792,0.95,0.97,Wavelet (HHH),glcm,DifferenceVariance
wavelet-HHH_glcm_Id,0.357532255021044,0.32,0.4,0.3577945751480364,0.32,0.4,0.3638861511804701,0.33,0.41,0.958012184819316,0.95,0.96,0.9580580899949008,0.95,0.96,0.959106678979915,0.95,0.97,Wavelet (HHH),glcm,Id
wavelet-HHH_glcm_Idm,0.3602983878742633,0.32,0.4,0.360558878703089,0.32,0.4,0.3666807896391845,0.33,0.41,0.9584931035103048,0.95,0.96,0.9585380368202252,0.95,0.97,0.9595768271566096,0.95,0.97,Wavelet (HHH),glcm,Idm
wavelet-HHH_glcm_Idmn,0.346155567851848,0.31,0.39,0.3463813744124887,0.31,0.39,0.3513563829499622,0.31,0.39,0.9559588694888485,0.95,0.96,0.9560008477389642,0.95,0.96,0.9569129390097072,0.95,0.96,Wavelet (HHH),glcm,Idmn
wavelet-HHH_glcm_Idn,0.3341148325649833,0.3,0.37,0.3343872099847704,0.3,0.37,0.3400908293962112,0.3,0.38,0.9536439944098856,0.95,0.96,0.9536980747003048,0.95,0.96,0.954811986670882,0.95,0.96,Wavelet (HHH),glcm,Idn
wavelet-HHH_glcm_Imc1,0.882167497038374,0.86,0.9,0.8821697578844803,0.86,0.9,0.8828642761935264,0.87,0.9,0.9967527357586576,1.0,1.0,0.996752806156416,1.0,1.0,0.9967744153262204,1.0,1.0,Wavelet (HHH),glcm,Imc1
wavelet-HHH_glcm_Imc2,0.7749283061141682,0.75,0.8,0.7749287273956186,0.75,0.8,0.7749882018416225,0.75,0.8,0.9929658791867496,0.99,0.99,0.9929658960574788,0.99,0.99,0.9929682776058326,0.99,0.99,Wavelet (HHH),glcm,Imc2
wavelet-HHH_glcm_InverseVariance,0.3150071881182061,0.28,0.35,0.315319255743147,0.28,0.35,0.3213211152326519,0.29,0.36,0.94963394629442,0.94,0.96,0.9497030558290236,0.94,0.96,0.9510079767796266,0.94,0.96,Wavelet (HHH),glcm,InverseVariance
wavelet-HHH_glcm_JointAverage,0.1230868773616453,0.1,0.15,0.1231028068894945,0.1,0.15,0.1231945601957241,0.1,0.15,0.8519596843654095,0.83,0.88,0.8519782961026536,0.83,0.88,0.8520854209077819,0.83,0.88,Wavelet (HHH),glcm,JointAverage
wavelet-HHH_glcm_JointEnergy,0.4252173125489607,0.39,0.47,0.4253606481778743,0.39,0.47,0.4297545956825824,0.39,0.47,0.9680830417095226,0.96,0.97,0.968101156587111,0.96,0.97,0.9686509268003392,0.96,0.97,Wavelet (HHH),glcm,JointEnergy
wavelet-HHH_glcm_JointEntropy,0.3181885726594138,0.28,0.36,0.3184688672923768,0.28,0.36,0.3239287569691955,0.29,0.36,0.9503325954258078,0.94,0.96,0.9503935292534482,0.94,0.96,0.951560939767248,0.94,0.96,Wavelet (HHH),glcm,JointEntropy
wavelet-HHH_glcm_MCC,0.4215803424583896,0.38,0.46,0.4216007885301829,0.38,0.46,0.4222126906773451,0.38,0.47,0.9676195074800285,0.96,0.97,0.9676221344473328,0.96,0.97,0.967700642145936,0.96,0.97,Wavelet (HHH),glcm,MCC
wavelet-HHH_glcm_MaximumProbability,0.4300272148383954,0.39,0.47,0.4301861700158253,0.39,0.47,0.4351618823246845,0.4,0.48,0.9686846870596502,0.96,0.97,0.96870435288245,0.96,0.97,0.969313075497376,0.96,0.97,Wavelet (HHH),glcm,MaximumProbability
wavelet-HHH_glcm_SumAverage,0.1230868773616452,0.1,0.15,0.1231028068894945,0.1,0.15,0.1231945601957241,0.1,0.15,0.8519596843654095,0.83,0.88,0.8519782961026535,0.83,0.88,0.8520854209077819,0.83,0.88,Wavelet (HHH),glcm,SumAverage
