,ICC1,LowerICC1,HigherICC1,ICC2,LowerICC2,HigherICC2,ICC3,LowerICC3,HigherICC3,ICC4,LowerICC4,HigherICC4,ICC5,LowerICC5,HigherICC5,ICC6,LowerICC6,HigherICC6
moment_3_0_2,0.9693514938626012,0.96,0.97,0.9693514965739276,0.96,0.97,0.9693550124956579,0.96,0.97,0.999229434804328,1.0,1.0,0.9992294348745974,1.0,1.0,0.999229525996268,1.0,1.0
moment_3_0_3,0.9694014222189725,0.96,0.97,0.9694014306497155,0.96,0.97,0.9694123817317953,0.96,0.97,0.999230728730437,1.0,1.0,0.9992307289489142,1.0,1.0,0.9992310127360106,1.0,1.0
moment_3_1_0,-0.01657953970948044,-0.02,-0.02,-0.016570968334804925,-0.02,-0.02,-0.016576698815033913,-0.02,-0.02,-2.018182809002818,-2.53,-1.55,-2.015088235260764,-2.53,-1.55,-2.01715644642216,-2.53,-1.55
moment_3_1_1,-0.015375005389546382,-0.02,-0.01,-0.015378268390640005,-0.02,-0.01,-0.015376242458818365,-0.02,-0.01,-1.6373391531221135,-2.08,-1.23,-1.6382420275651903,-2.09,-1.23,-1.6376813789049052,-2.09,-1.23
moment_3_1_2,-0.009910567004672015,-0.01,-0.01,-0.009900119603048934,-0.01,-0.01,-0.009904320421499337,-0.01,-0.01,-0.6732082764762634,-0.96,-0.41,-0.6720333092952272,-0.96,-0.41,-0.6725055589080761,-0.96,-0.41
moment_3_1_3,-0.005794744713979474,-0.01,-0.0,-0.005811695438267905,-0.01,-0.0,-0.005807682470991674,-0.01,-0.0,-0.3092702098134772,-0.53,-0.11,-0.31044888854353664,-0.53,-0.11,-0.31016965636218574,-0.53,-0.11
moment_3_2_0,0.6644586971405223,0.63,0.7,0.6644584655431365,0.63,0.7,0.6644396625463311,0.63,0.7,0.9878331615711313,0.99,0.99,0.9878331490863436,0.99,0.99,0.9878321354397304,0.99,0.99
moment_3_2_1,0.6629222208447365,0.63,0.7,0.6629221890524497,0.63,0.7,0.6629196255344253,0.63,0.7,0.9877501493286063,0.99,0.99,0.9877501476071064,0.99,0.99,0.9877500087963145,0.99,0.99
moment_3_2_2,0.6683170965431613,0.63,0.71,0.6683168962552581,0.63,0.71,0.6683003504777786,0.63,0.71,0.988039999838797,0.99,0.99,0.988039989161658,0.99,0.99,0.9880391071022236,0.99,0.99
moment_3_2_3,0.7029829497169499,0.67,0.74,0.7029826104592493,0.67,0.74,0.7029496907163753,0.67,0.74,0.9897999997665283,0.99,0.99,0.9897999833624673,0.99,0.99,0.9897983915278782,0.99,0.99
